customer_id,name,city,age,update_date
1,Customer_1,New York,69,2021-07-12
2,Customer_2,San Francisco,46,2022-02-26
3,Customer_3,Seattle,64,2022-03-11
4,Customer_4,New York,34,2022-03-12
5,Customer_5,Miami,43,2023-12-14
6,Customer_6,Seattle,21,2021-11-04
7,Customer_7,San Francisco,33,2020-07-04
8,Customer_8,New York,65,2020-03-01
9,Customer_9,Los Angeles,48,2020-05-31
10,Customer_10,New York,49,2022-01-25
11,Customer_11,Miami,41,2021-12-22
12,Customer_12,Seattle,45,2023-06-12
13,Customer_13,Seattle,22,2022-01-01
14,Customer_14,Los Angeles,54,2024-01-01
15,Customer_15,Miami,31,2022-03-07
16,Customer_16,Los Angeles,27,2022-05-23
17,Customer_17,New York,61,2023-10-10
18,Customer_18,San Francisco,66,2021-06-11
19,Customer_19,Miami,34,2022-01-03
20,Customer_20,Miami,65,2023-06-14
21,Customer_21,Los Angeles,32,2022-12-10
22,Customer_22,Seattle,22,2023-09-23
23,Customer_23,San Francisco,63,2020-03-03
24,Customer_24,Los Angeles,32,2021-07-26
25,Customer_25,New York,69,2022-12-04
26,Customer_26,Miami,32,2021-06-02
27,Customer_27,San Francisco,45,2023-05-25
28,Customer_28,Miami,51,2022-10-03
29,Customer_29,Los Angeles,41,2020-11-02
30,Customer_30,San Francisco,42,2020-11-26
31,Customer_31,San Francisco,41,2020-04-05
32,Customer_32,New York,45,2023-07-11
33,Customer_33,New York,68,2020-04-15
34,Customer_34,Los Angeles,64,2020-01-20
35,Customer_35,New York,58,2021-05-18
36,Customer_36,Los Angeles,59,2021-09-10
37,Customer_37,San Francisco,60,2020-03-12
38,Customer_38,Miami,20,2023-06-21
39,Customer_39,San Francisco,40,2021-02-15
40,Customer_40,Miami,28,2022-12-02
41,Customer_41,San Francisco,73,2022-07-18
42,Customer_42,Miami,56,2021-01-28
43,Customer_43,New York,45,2021-03-26
44,Customer_44,Los Angeles,49,2020-07-12
45,Customer_45,Los Angeles,68,2021-05-02
46,Customer_46,San Francisco,50,2021-03-09
47,Customer_47,Los Angeles,60,2021-10-24
48,Customer_48,San Francisco,25,2022-01-26
49,Customer_49,San Francisco,64,2022-07-18
50,Customer_50,New York,49,2020-09-04
51,Customer_51,Miami,26,2021-03-20
52,Customer_52,New York,48,2021-08-10
53,Customer_53,New York,43,2021-04-06
54,Customer_54,San Francisco,39,2021-01-31
55,Customer_55,New York,71,2023-11-01
56,Customer_56,San Francisco,23,2021-10-08
57,Customer_57,Seattle,44,2023-07-07
58,Customer_58,Los Angeles,75,2020-12-29
59,Customer_59,Miami,73,2022-05-30
60,Customer_60,New York,36,2023-03-04
61,Customer_61,San Francisco,61,2020-10-15
62,Customer_62,San Francisco,54,2023-11-08
63,Customer_63,Miami,70,2021-05-15
64,Customer_64,Miami,48,2023-04-06
65,Customer_65,New York,27,2020-02-15
66,Customer_66,New York,65,2022-06-16
67,Customer_67,New York,36,2022-04-14
68,Customer_68,Los Angeles,53,2021-03-15
69,Customer_69,Seattle,38,2023-02-09
70,Customer_70,San Francisco,72,2020-10-30
71,Customer_71,Miami,46,2022-12-24
72,Customer_72,Miami,29,2021-05-13
73,Customer_73,Los Angeles,20,2020-07-08
74,Customer_74,Seattle,45,2023-03-31
75,Customer_75,New York,33,2023-04-18
76,Customer_76,Miami,40,2021-01-12
77,Customer_77,Los Angeles,70,2021-05-19
78,Customer_78,San Francisco,25,2021-11-17
79,Customer_79,Miami,73,2023-07-14
80,Customer_80,Los Angeles,58,2023-01-20
81,Customer_81,Miami,66,2020-10-10
82,Customer_82,New York,64,2021-04-14
83,Customer_83,Seattle,62,2023-06-25
84,Customer_84,Miami,27,2020-01-23
85,Customer_85,Miami,73,2020-12-27
86,Customer_86,Seattle,45,2020-12-21
87,Customer_87,Miami,32,2023-03-04
88,Customer_88,Miami,31,2020-04-23
89,Customer_89,Seattle,72,2023-07-24
90,Customer_90,San Francisco,24,2020-06-23
91,Customer_91,Miami,47,2023-06-26
92,Customer_92,Los Angeles,38,2023-08-20
93,Customer_93,Miami,62,2022-01-12
94,Customer_94,New York,65,2021-06-03
95,Customer_95,San Francisco,26,2023-06-11
96,Customer_96,Miami,27,2022-10-26
97,Customer_97,San Francisco,53,2022-03-11
98,Customer_98,Miami,22,2021-09-25
99,Customer_99,San Francisco,26,2022-01-30
100,Customer_100,Seattle,50,2021-01-05
101,Customer_101,San Francisco,64,2023-04-25
102,Customer_102,Miami,35,2022-02-09
103,Customer_103,Los Angeles,64,2022-02-06
104,Customer_104,Los Angeles,26,2022-04-05
105,Customer_105,Miami,43,2021-08-09
106,Customer_106,Miami,62,2020-09-04
107,Customer_107,New York,28,2021-09-06
108,Customer_108,Los Angeles,26,2022-06-19
109,Customer_109,New York,63,2023-02-01
110,Customer_110,Miami,28,2020-08-08
111,Customer_111,Miami,25,2021-05-16
112,Customer_112,Seattle,40,2021-05-05
113,Customer_113,Miami,62,2022-01-14
114,Customer_114,San Francisco,24,2021-05-30
115,Customer_115,Miami,74,2020-01-20
116,Customer_116,Los Angeles,49,2022-01-19
117,Customer_117,Los Angeles,35,2020-05-12
118,Customer_118,San Francisco,49,2023-08-31
119,Customer_119,Miami,47,2020-04-27
120,Customer_120,Los Angeles,62,2020-04-30
121,Customer_121,New York,39,2022-12-26
122,Customer_122,New York,32,2023-03-09
123,Customer_123,Seattle,54,2021-10-16
124,Customer_124,Miami,61,2022-10-14
125,Customer_125,Los Angeles,46,2021-11-08
126,Customer_126,Miami,49,2021-04-03
127,Customer_127,Miami,48,2023-11-20
128,Customer_128,Seattle,28,2023-01-02
129,Customer_129,Seattle,25,2020-08-02
130,Customer_130,Los Angeles,24,2022-06-23
131,Customer_131,Seattle,50,2021-07-26
132,Customer_132,Miami,37,2023-12-01
133,Customer_133,New York,36,2022-09-24
134,Customer_134,San Francisco,63,2021-06-10
135,Customer_135,San Francisco,40,2023-03-25
136,Customer_136,New York,56,2020-09-02
137,Customer_137,San Francisco,68,2022-04-28
138,Customer_138,Miami,44,2022-06-21
139,Customer_139,Seattle,70,2023-02-01
140,Customer_140,Seattle,64,2021-02-02
141,Customer_141,Miami,61,2023-03-30
142,Customer_142,Los Angeles,49,2020-02-24
143,Customer_143,Seattle,56,2020-03-31
144,Customer_144,Los Angeles,22,2020-07-16
145,Customer_145,New York,56,2023-09-24
146,Customer_146,San Francisco,21,2023-03-28
147,Customer_147,Seattle,60,2022-05-23
148,Customer_148,Los Angeles,22,2021-01-31
149,Customer_149,Miami,72,2020-08-19
150,Customer_150,Los Angeles,56,2022-09-01
151,Customer_151,New York,69,2023-12-13
152,Customer_152,Los Angeles,65,2023-03-12
153,Customer_153,Miami,34,2021-07-23
154,Customer_154,New York,24,2021-02-17
155,Customer_155,Seattle,50,2020-01-25
156,Customer_156,Miami,28,2021-10-21
157,Customer_157,New York,40,2022-09-04
158,Customer_158,New York,64,2022-01-18
159,Customer_159,New York,41,2021-09-18
160,Customer_160,San Francisco,31,2021-02-15
161,Customer_161,Miami,32,2021-07-14
162,Customer_162,Los Angeles,20,2021-08-21
163,Customer_163,Miami,31,2021-06-22
164,Customer_164,Miami,53,2020-09-28
165,Customer_165,New York,48,2022-05-23
166,Customer_166,Seattle,39,2020-10-04
167,Customer_167,San Francisco,57,2020-11-02
168,Customer_168,San Francisco,44,2023-07-11
169,Customer_169,Miami,68,2023-08-28
170,Customer_170,Miami,54,2023-11-25
171,Customer_171,Los Angeles,67,2020-10-02
172,Customer_172,San Francisco,75,2023-04-09
173,Customer_173,New York,65,2023-11-20
174,Customer_174,New York,46,2020-12-19
175,Customer_175,Miami,47,2020-01-19
176,Customer_176,Miami,37,2023-12-29
177,Customer_177,Seattle,60,2023-09-13
178,Customer_178,San Francisco,32,2022-04-08
179,Customer_179,Los Angeles,61,2022-05-15
180,Customer_180,Miami,40,2020-10-13
181,Customer_181,Miami,32,2021-04-30
182,Customer_182,San Francisco,35,2022-10-21
183,Customer_183,San Francisco,67,2022-08-16
184,Customer_184,New York,75,2023-05-03
185,Customer_185,New York,48,2022-08-04
186,Customer_186,Los Angeles,56,2022-01-24
187,Customer_187,New York,73,2023-12-15
188,Customer_188,New York,72,2023-05-15
189,Customer_189,New York,74,2020-06-13
190,Customer_190,Seattle,40,2021-03-30
191,Customer_191,New York,48,2021-12-28
192,Customer_192,San Francisco,72,2021-10-13
193,Customer_193,Seattle,74,2020-05-14
194,Customer_194,New York,23,2020-05-02
195,Customer_195,San Francisco,60,2020-04-02
196,Customer_196,Seattle,34,2021-04-12
197,Customer_197,Seattle,45,2021-07-27
198,Customer_198,New York,63,2020-01-18
199,Customer_199,Seattle,30,2021-03-01
200,Customer_200,Los Angeles,52,2020-01-10
201,Customer_201,Miami,56,2021-11-11
202,Customer_202,New York,55,2021-12-19
203,Customer_203,Los Angeles,70,2020-12-28
204,Customer_204,Miami,61,2020-06-02
205,Customer_205,New York,55,2022-08-08
206,Customer_206,Seattle,31,2021-09-30
207,Customer_207,New York,23,2022-11-03
208,Customer_208,San Francisco,25,2021-08-15
209,Customer_209,Los Angeles,34,2023-07-16
210,Customer_210,Los Angeles,28,2020-05-15
211,Customer_211,Seattle,41,2020-02-11
212,Customer_212,New York,54,2020-12-12
213,Customer_213,Seattle,55,2020-06-22
214,Customer_214,Seattle,75,2022-05-04
215,Customer_215,New York,68,2022-07-10
216,Customer_216,New York,55,2021-02-19
217,Customer_217,Miami,46,2020-02-03
218,Customer_218,Miami,37,2023-01-23
219,Customer_219,Seattle,38,2022-08-07
220,Customer_220,San Francisco,57,2022-11-19
221,Customer_221,New York,28,2021-05-21
222,Customer_222,Miami,41,2022-07-23
223,Customer_223,Los Angeles,56,2023-02-19
224,Customer_224,Los Angeles,44,2020-06-02
225,Customer_225,San Francisco,25,2021-05-07
226,Customer_226,Los Angeles,57,2023-12-11
227,Customer_227,New York,41,2022-08-16
228,Customer_228,Seattle,21,2020-02-14
229,Customer_229,Miami,44,2022-11-11
230,Customer_230,Los Angeles,23,2022-06-04
231,Customer_231,New York,66,2020-10-19
232,Customer_232,Miami,50,2022-02-23
233,Customer_233,New York,34,2022-06-21
234,Customer_234,Los Angeles,63,2020-08-11
235,Customer_235,Seattle,61,2021-06-14
236,Customer_236,Seattle,54,2020-10-24
237,Customer_237,Seattle,38,2020-08-30
238,Customer_238,New York,22,2022-06-22
239,Customer_239,San Francisco,56,2022-10-19
240,Customer_240,San Francisco,47,2021-12-18
241,Customer_241,Miami,37,2020-05-22
242,Customer_242,New York,68,2023-06-17
243,Customer_243,Los Angeles,52,2021-01-08
244,Customer_244,San Francisco,46,2022-11-09
245,Customer_245,Seattle,57,2023-01-01
246,Customer_246,Los Angeles,59,2022-08-17
247,Customer_247,San Francisco,47,2021-01-04
248,Customer_248,New York,33,2020-02-19
249,Customer_249,New York,30,2022-08-29
250,Customer_250,Los Angeles,71,2020-02-24
251,Customer_251,San Francisco,62,2020-01-21
252,Customer_252,San Francisco,55,2020-11-16
253,Customer_253,San Francisco,74,2023-07-18
254,Customer_254,New York,26,2021-06-10
255,Customer_255,Los Angeles,31,2023-05-06
256,Customer_256,Los Angeles,31,2021-07-18
257,Customer_257,Los Angeles,27,2021-12-03
258,Customer_258,New York,65,2022-09-08
259,Customer_259,Los Angeles,68,2020-08-02
260,Customer_260,New York,22,2020-10-06
261,Customer_261,New York,28,2020-11-28
262,Customer_262,New York,60,2021-04-20
263,Customer_263,Los Angeles,30,2021-10-07
264,Customer_264,Miami,21,2023-12-25
265,Customer_265,Los Angeles,24,2020-11-18
266,Customer_266,Los Angeles,39,2023-11-27
267,Customer_267,San Francisco,55,2020-12-19
268,Customer_268,Seattle,34,2022-04-11
269,Customer_269,Seattle,69,2023-06-08
270,Customer_270,Miami,43,2022-07-04
271,Customer_271,Los Angeles,73,2023-02-27
272,Customer_272,Miami,60,2021-05-10
273,Customer_273,Seattle,67,2022-01-28
274,Customer_274,New York,21,2020-08-20
275,Customer_275,Los Angeles,70,2022-04-24
276,Customer_276,Seattle,33,2023-05-26
277,Customer_277,San Francisco,63,2023-05-24
278,Customer_278,Miami,32,2022-06-22
279,Customer_279,New York,67,2020-11-03
280,Customer_280,New York,44,2022-04-23
281,Customer_281,San Francisco,56,2020-08-15
282,Customer_282,San Francisco,37,2022-05-18
283,Customer_283,Seattle,45,2023-02-27
284,Customer_284,Seattle,45,2023-02-19
285,Customer_285,Los Angeles,33,2023-03-12
286,Customer_286,Seattle,23,2020-01-06
287,Customer_287,New York,70,2020-08-25
288,Customer_288,Los Angeles,33,2022-07-15
289,Customer_289,Miami,24,2023-02-17
290,Customer_290,New York,41,2022-07-18
291,Customer_291,Seattle,54,2021-09-22
292,Customer_292,New York,62,2023-11-03
293,Customer_293,San Francisco,65,2022-11-19
294,Customer_294,Los Angeles,42,2023-05-10
295,Customer_295,Los Angeles,57,2020-07-25
296,Customer_296,Seattle,32,2023-09-10
297,Customer_297,New York,68,2020-02-26
298,Customer_298,Seattle,53,2022-04-18
299,Customer_299,Seattle,74,2020-10-27
300,Customer_300,San Francisco,24,2020-08-18
301,Customer_301,San Francisco,45,2021-10-30
302,Customer_302,Miami,28,2022-03-09
303,Customer_303,Miami,34,2021-09-08
304,Customer_304,San Francisco,26,2021-08-25
305,Customer_305,New York,73,2020-03-02
306,Customer_306,New York,50,2020-05-19
307,Customer_307,Los Angeles,59,2020-04-03
308,Customer_308,Los Angeles,54,2023-06-04
309,Customer_309,San Francisco,48,2020-05-20
310,Customer_310,Seattle,46,2022-10-02
311,Customer_311,San Francisco,49,2021-04-11
312,Customer_312,Los Angeles,49,2021-07-10
313,Customer_313,San Francisco,45,2022-02-05
314,Customer_314,Los Angeles,65,2020-12-09
315,Customer_315,New York,44,2021-05-13
316,Customer_316,Seattle,53,2021-07-13
317,Customer_317,Miami,22,2022-12-10
318,Customer_318,New York,62,2020-02-16
319,Customer_319,New York,69,2022-08-15
320,Customer_320,New York,58,2022-09-24
321,Customer_321,Los Angeles,49,2020-11-04
322,Customer_322,San Francisco,28,2023-03-04
323,Customer_323,Miami,69,2022-08-22
324,Customer_324,New York,68,2022-05-21
325,Customer_325,New York,62,2020-07-24
326,Customer_326,San Francisco,45,2022-02-28
327,Customer_327,Seattle,24,2020-02-18
328,Customer_328,Los Angeles,70,2023-09-09
329,Customer_329,New York,44,2023-02-07
330,Customer_330,San Francisco,42,2023-07-15
331,Customer_331,Miami,58,2022-07-05
332,Customer_332,New York,51,2021-08-26
333,Customer_333,Seattle,23,2022-11-02
334,Customer_334,New York,74,2022-09-02
335,Customer_335,Los Angeles,62,2022-01-24
336,Customer_336,Seattle,42,2020-05-30
337,Customer_337,San Francisco,71,2022-07-19
338,Customer_338,New York,45,2021-12-09
339,Customer_339,Los Angeles,40,2021-12-26
340,Customer_340,New York,23,2020-03-08
341,Customer_341,New York,44,2023-10-14
342,Customer_342,Los Angeles,39,2020-11-06
343,Customer_343,San Francisco,70,2022-05-19
344,Customer_344,Miami,33,2023-11-22
345,Customer_345,San Francisco,69,2020-04-23
346,Customer_346,Miami,51,2021-09-24
347,Customer_347,Miami,28,2022-06-17
348,Customer_348,Los Angeles,34,2021-06-26
349,Customer_349,Miami,27,2022-02-22
350,Customer_350,Miami,48,2021-02-20
351,Customer_351,New York,56,2023-04-10
352,Customer_352,Miami,20,2022-07-07
353,Customer_353,San Francisco,27,2021-08-31
354,Customer_354,Miami,62,2022-10-19
355,Customer_355,Miami,32,2023-04-06
356,Customer_356,Miami,57,2022-12-26
357,Customer_357,Los Angeles,63,2021-02-01
358,Customer_358,San Francisco,63,2022-05-14
359,Customer_359,Seattle,60,2023-03-17
360,Customer_360,San Francisco,49,2020-03-09
361,Customer_361,Miami,49,2023-11-30
362,Customer_362,Miami,64,2021-09-28
363,Customer_363,Los Angeles,40,2020-09-26
364,Customer_364,New York,51,2020-12-13
365,Customer_365,San Francisco,70,2021-02-10
366,Customer_366,Seattle,24,2023-10-18
367,Customer_367,Seattle,51,2022-06-12
368,Customer_368,San Francisco,23,2021-05-04
369,Customer_369,Seattle,32,2023-06-05
370,Customer_370,San Francisco,40,2022-10-17
371,Customer_371,Los Angeles,36,2021-11-06
372,Customer_372,Miami,46,2022-12-07
373,Customer_373,Los Angeles,46,2021-03-22
374,Customer_374,Miami,35,2022-11-25
375,Customer_375,New York,27,2022-12-13
376,Customer_376,Seattle,51,2023-09-23
377,Customer_377,New York,67,2021-08-20
378,Customer_378,New York,28,2020-03-13
379,Customer_379,Miami,70,2023-12-30
380,Customer_380,New York,35,2022-07-25
381,Customer_381,Miami,75,2021-09-16
382,Customer_382,Seattle,56,2021-08-21
383,Customer_383,San Francisco,40,2021-06-26
384,Customer_384,New York,73,2023-08-31
385,Customer_385,Miami,59,2022-10-02
386,Customer_386,Seattle,46,2021-10-26
387,Customer_387,Miami,25,2022-04-08
388,Customer_388,Miami,51,2021-12-11
389,Customer_389,San Francisco,23,2023-07-20
390,Customer_390,Los Angeles,67,2022-05-09
391,Customer_391,Miami,74,2023-02-04
392,Customer_392,Seattle,36,2023-03-13
393,Customer_393,Seattle,47,2020-10-05
394,Customer_394,Los Angeles,70,2021-07-26
395,Customer_395,Los Angeles,60,2020-05-12
396,Customer_396,New York,71,2020-07-23
397,Customer_397,New York,69,2021-12-07
398,Customer_398,Seattle,65,2020-04-16
399,Customer_399,Miami,48,2022-02-14
400,Customer_400,Los Angeles,22,2022-06-02
401,Customer_401,New York,49,2021-08-06
402,Customer_402,Seattle,29,2022-05-11
403,Customer_403,Miami,63,2021-12-21
404,Customer_404,San Francisco,74,2022-04-25
405,Customer_405,San Francisco,30,2020-12-18
406,Customer_406,Los Angeles,74,2021-06-10
407,Customer_407,New York,20,2023-11-30
408,Customer_408,New York,63,2020-10-23
409,Customer_409,New York,26,2022-02-28
410,Customer_410,Miami,25,2020-08-18
411,Customer_411,New York,30,2021-07-08
412,Customer_412,San Francisco,32,2021-12-12
413,Customer_413,Los Angeles,56,2022-01-30
414,Customer_414,Seattle,31,2020-02-01
415,Customer_415,New York,53,2023-03-07
416,Customer_416,New York,60,2020-07-16
417,Customer_417,Miami,67,2020-01-22
418,Customer_418,Miami,28,2020-02-10
419,Customer_419,New York,57,2022-08-02
420,Customer_420,Miami,48,2022-09-17
421,Customer_421,Seattle,21,2020-04-18
422,Customer_422,Los Angeles,45,2020-10-17
423,Customer_423,New York,47,2021-05-04
424,Customer_424,Los Angeles,39,2020-08-29
425,Customer_425,Los Angeles,59,2022-12-04
426,Customer_426,Los Angeles,46,2022-06-01
427,Customer_427,Miami,51,2023-04-05
428,Customer_428,Miami,34,2023-06-24
429,Customer_429,San Francisco,35,2023-02-18
430,Customer_430,San Francisco,24,2021-08-13
431,Customer_431,Seattle,66,2022-06-23
432,Customer_432,Miami,69,2021-09-07
433,Customer_433,Los Angeles,68,2023-12-06
434,Customer_434,San Francisco,26,2020-05-14
435,Customer_435,San Francisco,38,2023-11-23
436,Customer_436,Los Angeles,60,2021-03-16
437,Customer_437,Los Angeles,62,2022-02-07
438,Customer_438,New York,53,2021-12-06
439,Customer_439,New York,43,2020-12-25
440,Customer_440,New York,61,2021-02-05
441,Customer_441,Los Angeles,57,2020-11-09
442,Customer_442,Los Angeles,24,2020-04-28
443,Customer_443,Miami,60,2021-03-23
444,Customer_444,Seattle,20,2020-07-30
445,Customer_445,San Francisco,20,2020-03-20
446,Customer_446,Miami,48,2021-08-20
447,Customer_447,Seattle,33,2021-04-13
448,Customer_448,Miami,25,2021-01-20
449,Customer_449,Miami,60,2022-01-18
450,Customer_450,Los Angeles,72,2021-06-03
451,Customer_451,New York,64,2023-12-04
452,Customer_452,Miami,25,2022-12-25
453,Customer_453,Miami,74,2022-01-27
454,Customer_454,Seattle,55,2020-08-25
455,Customer_455,San Francisco,48,2021-02-14
456,Customer_456,Seattle,52,2023-08-07
457,Customer_457,Los Angeles,45,2022-09-13
458,Customer_458,Los Angeles,25,2020-08-02
459,Customer_459,Los Angeles,33,2022-10-25
460,Customer_460,Seattle,34,2020-05-15
461,Customer_461,Miami,49,2022-06-23
462,Customer_462,San Francisco,23,2022-05-26
463,Customer_463,Seattle,40,2023-01-20
464,Customer_464,San Francisco,33,2022-05-18
465,Customer_465,San Francisco,74,2023-07-17
466,Customer_466,New York,25,2022-11-14
467,Customer_467,Los Angeles,66,2022-08-02
468,Customer_468,Miami,25,2023-08-29
469,Customer_469,Miami,34,2023-05-23
470,Customer_470,New York,54,2020-05-27
471,Customer_471,Miami,53,2022-11-24
472,Customer_472,New York,37,2020-08-08
473,Customer_473,Seattle,25,2021-03-05
